Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A01001_001,SE_A01001_002
36047019800,14000US36047019800,"Census Tract 198, Kings County, New York","Census Tract 198, Kings County, New York",ny,140,0,ACSSF,4642,36,47,19800,1860,191
36047019900,14000US36047019900,"Census Tract 199, Kings County, New York","Census Tract 199, Kings County, New York",ny,140,0,ACSSF,4643,36,47,19900,3829,357
36047020000,14000US36047020000,"Census Tract 200, Kings County, New York","Census Tract 200, Kings County, New York",ny,140,0,ACSSF,4644,36,47,20000,2335,163
36047020100,14000US36047020100,"Census Tract 201, Kings County, New York","Census Tract 201, Kings County, New York",ny,140,0,ACSSF,4645,36,47,20100,3735,267
36047020200,14000US36047020200,"Census Tract 202, Kings County, New York","Census Tract 202, Kings County, New York",ny,140,0,ACSSF,4646,36,47,20200,2154,140
36047020300,14000US36047020300,"Census Tract 203, Kings County, New York","Census Tract 203, Kings County, New York",ny,140,0,ACSSF,4647,36,47,20300,1764,161
36047020400,14000US36047020400,"Census Tract 204, Kings County, New York","Census Tract 204, Kings County, New York",ny,140,0,ACSSF,4648,36,47,20400,1992,54
36047020500,14000US36047020500,"Census Tract 205, Kings County, New York","Census Tract 205, Kings County, New York",ny,140,0,ACSSF,4649,36,47,20500,2907,209
36047020600,14000US36047020600,"Census Tract 206, Kings County, New York","Census Tract 206, Kings County, New York",ny,140,0,ACSSF,4650,36,47,20600,2347,96
36047020700,14000US36047020700,"Census Tract 207, Kings County, New York","Census Tract 207, Kings County, New York",ny,140,0,ACSSF,4651,36,47,20700,4708,214
36047020800,14000US36047020800,"Census Tract 208, Kings County, New York","Census Tract 208, Kings County, New York",ny,140,0,ACSSF,4652,36,47,20800,3216,142
36047021000,14000US36047021000,"Census Tract 210, Kings County, New York","Census Tract 210, Kings County, New York",ny,140,0,ACSSF,4653,36,47,21000,4380,266
36047021100,14000US36047021100,"Census Tract 211, Kings County, New York","Census Tract 211, Kings County, New York",ny,140,0,ACSSF,4654,36,47,21100,1829,100
36047021200,14000US36047021200,"Census Tract 212, Kings County, New York","Census Tract 212, Kings County, New York",ny,140,0,ACSSF,4655,36,47,21200,4858,167
36047021300,14000US36047021300,"Census Tract 213, Kings County, New York","Census Tract 213, Kings County, New York",ny,140,0,ACSSF,4656,36,47,21300,4228,197
36047021400,14000US36047021400,"Census Tract 214, Kings County, New York","Census Tract 214, Kings County, New York",ny,140,0,ACSSF,4657,36,47,21400,2194,323
36047021500,14000US36047021500,"Census Tract 215, Kings County, New York","Census Tract 215, Kings County, New York",ny,140,0,ACSSF,4658,36,47,21500,5406,477
36047021600,14000US36047021600,"Census Tract 216, Kings County, New York","Census Tract 216, Kings County, New York",ny,140,0,ACSSF,4659,36,47,21600,4533,579
36047021700,14000US36047021700,"Census Tract 217, Kings County, New York","Census Tract 217, Kings County, New York",ny,140,0,ACSSF,4660,36,47,21700,4035,271
36047021800,14000US36047021800,"Census Tract 218, Kings County, New York","Census Tract 218, Kings County, New York",ny,140,0,ACSSF,4661,36,47,21800,3892,627
36047021900,14000US36047021900,"Census Tract 219, Kings County, New York","Census Tract 219, Kings County, New York",ny,140,0,ACSSF,4662,36,47,21900,3576,81
36047022000,14000US36047022000,"Census Tract 220, Kings County, New York","Census Tract 220, Kings County, New York",ny,140,0,ACSSF,4663,36,47,22000,4924,937
36047022100,14000US36047022100,"Census Tract 221, Kings County, New York","Census Tract 221, Kings County, New York",ny,140,0,ACSSF,4664,36,47,22100,4174,166
36047022200,14000US36047022200,"Census Tract 222, Kings County, New York","Census Tract 222, Kings County, New York",ny,140,0,ACSSF,4665,36,47,22200,4281,616
36047022400,14000US36047022400,"Census Tract 224, Kings County, New York","Census Tract 224, Kings County, New York",ny,140,0,ACSSF,4666,36,47,22400,5780,896
36047022600,14000US36047022600,"Census Tract 226, Kings County, New York","Census Tract 226, Kings County, New York",ny,140,0,ACSSF,4667,36,47,22600,2261,271
36047022700,14000US36047022700,"Census Tract 227, Kings County, New York","Census Tract 227, Kings County, New York",ny,140,0,ACSSF,4668,36,47,22700,3556,55
36047022800,14000US36047022800,"Census Tract 228, Kings County, New York","Census Tract 228, Kings County, New York",ny,140,0,ACSSF,4669,36,47,22800,3748,459
36047022900,14000US36047022900,"Census Tract 229, Kings County, New York","Census Tract 229, Kings County, New York",ny,140,0,ACSSF,4670,36,47,22900,3862,212
36047023000,14000US36047023000,"Census Tract 230, Kings County, New York","Census Tract 230, Kings County, New York",ny,140,0,ACSSF,4671,36,47,23000,4288,698
36047023100,14000US36047023100,"Census Tract 231, Kings County, New York","Census Tract 231, Kings County, New York",ny,140,0,ACSSF,4672,36,47,23100,3376,119
36047023200,14000US36047023200,"Census Tract 232, Kings County, New York","Census Tract 232, Kings County, New York",ny,140,0,ACSSF,4673,36,47,23200,5073,625
36047023300,14000US36047023300,"Census Tract 233, Kings County, New York","Census Tract 233, Kings County, New York",ny,140,0,ACSSF,4674,36,47,23300,5153,419
36047023400,14000US36047023400,"Census Tract 234, Kings County, New York","Census Tract 234, Kings County, New York",ny,140,0,ACSSF,4675,36,47,23400,4667,1086
36047023500,14000US36047023500,"Census Tract 235, Kings County, New York","Census Tract 235, Kings County, New York",ny,140,0,ACSSF,4676,36,47,23500,4062,443
36047023600,14000US36047023600,"Census Tract 236, Kings County, New York","Census Tract 236, Kings County, New York",ny,140,0,ACSSF,4677,36,47,23600,5669,1335
36047023800,14000US36047023800,"Census Tract 238, Kings County, New York","Census Tract 238, Kings County, New York",ny,140,0,ACSSF,4678,36,47,23800,3990,646
36047024000,14000US36047024000,"Census Tract 240, Kings County, New York","Census Tract 240, Kings County, New York",ny,140,0,ACSSF,4679,36,47,24000,4626,674
36047024100,14000US36047024100,"Census Tract 241, Kings County, New York","Census Tract 241, Kings County, New York",ny,140,0,ACSSF,4680,36,47,24100,2501,265
36047024200,14000US36047024200,"Census Tract 242, Kings County, New York","Census Tract 242, Kings County, New York",ny,140,0,ACSSF,4681,36,47,24200,2994,340
36047024300,14000US36047024300,"Census Tract 243, Kings County, New York","Census Tract 243, Kings County, New York",ny,140,0,ACSSF,4682,36,47,24300,4020,226
36047024400,14000US36047024400,"Census Tract 244, Kings County, New York","Census Tract 244, Kings County, New York",ny,140,0,ACSSF,4683,36,47,24400,4039,507
36047024500,14000US36047024500,"Census Tract 245, Kings County, New York","Census Tract 245, Kings County, New York",ny,140,0,ACSSF,4684,36,47,24500,4535,308
36047024600,14000US36047024600,"Census Tract 246, Kings County, New York","Census Tract 246, Kings County, New York",ny,140,0,ACSSF,4685,36,47,24600,2892,258
36047024700,14000US36047024700,"Census Tract 247, Kings County, New York","Census Tract 247, Kings County, New York",ny,140,0,ACSSF,4686,36,47,24700,2398,161
36047024800,14000US36047024800,"Census Tract 248, Kings County, New York","Census Tract 248, Kings County, New York",ny,140,0,ACSSF,4687,36,47,24800,3013,251
36047024900,14000US36047024900,"Census Tract 249, Kings County, New York","Census Tract 249, Kings County, New York",ny,140,0,ACSSF,4688,36,47,24900,4630,176
36047025000,14000US36047025000,"Census Tract 250, Kings County, New York","Census Tract 250, Kings County, New York",ny,140,0,ACSSF,4689,36,47,25000,1539,50
36047025100,14000US36047025100,"Census Tract 251, Kings County, New York","Census Tract 251, Kings County, New York",ny,140,0,ACSSF,4690,36,47,25100,3547,178
36047025200,14000US36047025200,"Census Tract 252, Kings County, New York","Census Tract 252, Kings County, New York",ny,140,0,ACSSF,4691,36,47,25200,5310,377
36047025300,14000US36047025300,"Census Tract 253, Kings County, New York","Census Tract 253, Kings County, New York",ny,140,0,ACSSF,4692,36,47,25300,2936,175
36047025400,14000US36047025400,"Census Tract 254, Kings County, New York","Census Tract 254, Kings County, New York",ny,140,0,ACSSF,4693,36,47,25400,4280,220
36047025500,14000US36047025500,"Census Tract 255, Kings County, New York","Census Tract 255, Kings County, New York",ny,140,0,ACSSF,4694,36,47,25500,5569,484
36047025600,14000US36047025600,"Census Tract 256, Kings County, New York","Census Tract 256, Kings County, New York",ny,140,0,ACSSF,4695,36,47,25600,3338,313
36047025700,14000US36047025700,"Census Tract 257, Kings County, New York","Census Tract 257, Kings County, New York",ny,140,0,ACSSF,4696,36,47,25700,2111,124
36047025800,14000US36047025800,"Census Tract 258, Kings County, New York","Census Tract 258, Kings County, New York",ny,140,0,ACSSF,4697,36,47,25800,4888,566
36047025901,14000US36047025901,"Census Tract 259.01, Kings County, New York","Census Tract 259.01, Kings County, New York",ny,140,0,ACSSF,4698,36,47,25901,2158,199
36047025902,14000US36047025902,"Census Tract 259.02, Kings County, New York","Census Tract 259.02, Kings County, New York",ny,140,0,ACSSF,4699,36,47,25902,3826,452
36047026000,14000US36047026000,"Census Tract 260, Kings County, New York","Census Tract 260, Kings County, New York",ny,140,0,ACSSF,4700,36,47,26000,3310,164
36047026100,14000US36047026100,"Census Tract 261, Kings County, New York","Census Tract 261, Kings County, New York",ny,140,0,ACSSF,4701,36,47,26100,4993,209
36047026200,14000US36047026200,"Census Tract 262, Kings County, New York","Census Tract 262, Kings County, New York",ny,140,0,ACSSF,4702,36,47,26200,2548,134
36047026300,14000US36047026300,"Census Tract 263, Kings County, New York","Census Tract 263, Kings County, New York",ny,140,0,ACSSF,4703,36,47,26300,1834,103
36047026400,14000US36047026400,"Census Tract 264, Kings County, New York","Census Tract 264, Kings County, New York",ny,140,0,ACSSF,4704,36,47,26400,4931,220
36047026500,14000US36047026500,"Census Tract 265, Kings County, New York","Census Tract 265, Kings County, New York",ny,140,0,ACSSF,4705,36,47,26500,4011,263
36047026600,14000US36047026600,"Census Tract 266, Kings County, New York","Census Tract 266, Kings County, New York",ny,140,0,ACSSF,4706,36,47,26600,3464,265
36047026700,14000US36047026700,"Census Tract 267, Kings County, New York","Census Tract 267, Kings County, New York",ny,140,0,ACSSF,4707,36,47,26700,3937,221
36047026800,14000US36047026800,"Census Tract 268, Kings County, New York","Census Tract 268, Kings County, New York",ny,140,0,ACSSF,4708,36,47,26800,3841,298
36047026900,14000US36047026900,"Census Tract 269, Kings County, New York","Census Tract 269, Kings County, New York",ny,140,0,ACSSF,4709,36,47,26900,3302,316
36047027000,14000US36047027000,"Census Tract 270, Kings County, New York","Census Tract 270, Kings County, New York",ny,140,0,ACSSF,4710,36,47,27000,2450,94
36047027100,14000US36047027100,"Census Tract 271, Kings County, New York","Census Tract 271, Kings County, New York",ny,140,0,ACSSF,4711,36,47,27100,2874,183
36047027200,14000US36047027200,"Census Tract 272, Kings County, New York","Census Tract 272, Kings County, New York",ny,140,0,ACSSF,4712,36,47,27200,3565,338
36047027300,14000US36047027300,"Census Tract 273, Kings County, New York","Census Tract 273, Kings County, New York",ny,140,0,ACSSF,4713,36,47,27300,3228,196
36047027400,14000US36047027400,"Census Tract 274, Kings County, New York","Census Tract 274, Kings County, New York",ny,140,0,ACSSF,4714,36,47,27400,3019,177
36047027500,14000US36047027500,"Census Tract 275, Kings County, New York","Census Tract 275, Kings County, New York",ny,140,0,ACSSF,4715,36,47,27500,4630,376
36047027600,14000US36047027600,"Census Tract 276, Kings County, New York","Census Tract 276, Kings County, New York",ny,140,0,ACSSF,4716,36,47,27600,4103,253
36047027700,14000US36047027700,"Census Tract 277, Kings County, New York","Census Tract 277, Kings County, New York",ny,140,0,ACSSF,4717,36,47,27700,4630,271
36047027800,14000US36047027800,"Census Tract 278, Kings County, New York","Census Tract 278, Kings County, New York",ny,140,0,ACSSF,4718,36,47,27800,3181,105
36047027900,14000US36047027900,"Census Tract 279, Kings County, New York","Census Tract 279, Kings County, New York",ny,140,0,ACSSF,4719,36,47,27900,3705,258
36047028000,14000US36047028000,"Census Tract 280, Kings County, New York","Census Tract 280, Kings County, New York",ny,140,0,ACSSF,4720,36,47,28000,1763,98
36047028100,14000US36047028100,"Census Tract 281, Kings County, New York","Census Tract 281, Kings County, New York",ny,140,0,ACSSF,4721,36,47,28100,5076,415
36047028200,14000US36047028200,"Census Tract 282, Kings County, New York","Census Tract 282, Kings County, New York",ny,140,0,ACSSF,4722,36,47,28200,3496,168
36047028300,14000US36047028300,"Census Tract 283, Kings County, New York","Census Tract 283, Kings County, New York",ny,140,0,ACSSF,4723,36,47,28300,3997,347
36047028400,14000US36047028400,"Census Tract 284, Kings County, New York","Census Tract 284, Kings County, New York",ny,140,0,ACSSF,4724,36,47,28400,3712,289
36047028501,14000US36047028501,"Census Tract 285.01, Kings County, New York","Census Tract 285.01, Kings County, New York",ny,140,0,ACSSF,4725,36,47,28501,460,34
36047028502,14000US36047028502,"Census Tract 285.02, Kings County, New York","Census Tract 285.02, Kings County, New York",ny,140,0,ACSSF,4726,36,47,28502,2938,206
36047028600,14000US36047028600,"Census Tract 286, Kings County, New York","Census Tract 286, Kings County, New York",ny,140,0,ACSSF,4727,36,47,28600,5115,495
36047028700,14000US36047028700,"Census Tract 287, Kings County, New York","Census Tract 287, Kings County, New York",ny,140,0,ACSSF,4728,36,47,28700,2781,70
36047028800,14000US36047028800,"Census Tract 288, Kings County, New York","Census Tract 288, Kings County, New York",ny,140,0,ACSSF,4729,36,47,28800,3816,189
36047028900,14000US36047028900,"Census Tract 289, Kings County, New York","Census Tract 289, Kings County, New York",ny,140,0,ACSSF,4730,36,47,28900,3789,243
